city_id,city,listing_id,listing_desc,url,product_code,review_id,user_alias,user_location,review_rating,review_timestamp
g303506,Rio de Janeiro,d11466852,"Get an overview of Rio's most important sights during this comprehensive 8.5-hour tour. With a local guide, visit Copacabana beach, Botafogo beach and Palácio Guanabara. Travel through the Tijuca Forest, stopping at... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11466852-Full_Day_City_Tour_Christ_Redeemer_Sugar_Loaf_and_Downtown-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|SmxYXzcyODdQNl9kM2E=,573177983,Daniel A,NA,5.0,13/04/2018
g303506,Rio de Janeiro,d11466852,"Get an overview of Rio's most important sights during this comprehensive 8.5-hour tour. With a local guide, visit Copacabana beach, Botafogo beach and Palácio Guanabara. Travel through the Tijuca Forest, stopping at... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11466852-Full_Day_City_Tour_Christ_Redeemer_Sugar_Loaf_and_Downtown-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|SmxYXzcyODdQNl9kM2E=,597981715,mario r,cordoba,5.0,20/07/2018
g303506,Rio de Janeiro,d11466852,"Get an overview of Rio's most important sights during this comprehensive 8.5-hour tour. With a local guide, visit Copacabana beach, Botafogo beach and Palácio Guanabara. Travel through the Tijuca Forest, stopping at... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11466852-Full_Day_City_Tour_Christ_Redeemer_Sugar_Loaf_and_Downtown-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|SmxYXzcyODdQNl9kM2E=,546999178,Ani S,"Panama City, Panama",4.0,13/12/2017
g303506,Rio de Janeiro,d11466852,"Get an overview of Rio's most important sights during this comprehensive 8.5-hour tour. With a local guide, visit Copacabana beach, Botafogo beach and Palácio Guanabara. Travel through the Tijuca Forest, stopping at... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11466852-Full_Day_City_Tour_Christ_Redeemer_Sugar_Loaf_and_Downtown-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|SmxYXzcyODdQNl9kM2E=,542462198,Fran V,NA,5.0,21/11/2017
g303506,Rio de Janeiro,d11445963,"See Rio's most important sights, including Christ the Redeemer atop Corcovado Mountain, during this comprehensive 5-hour guided tour. Visit Sao Conrado beach, a popular landing spot for hang gliders taking off from... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11445963-Rio_de_Janeiro_Main_Landmarks_Tour_Including_Christ_the_Redeemer_and_Selaron_Steps-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|VXNYXzEwMzUxUDFfZ1Vw,599301609,Jasmine S,"Gavle, Sweden",5.0,24/07/2018
g303506,Rio de Janeiro,d11445963,"See Rio's most important sights, including Christ the Redeemer atop Corcovado Mountain, during this comprehensive 5-hour guided tour. Visit Sao Conrado beach, a popular landing spot for hang gliders taking off from... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11445963-Rio_de_Janeiro_Main_Landmarks_Tour_Including_Christ_the_Redeemer_and_Selaron_Steps-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|VXNYXzEwMzUxUDFfZ1Vw,598435990,patiassari,"Alvares Machado, SP",5.0,22/07/2018
g303506,Rio de Janeiro,d11445963,"See Rio's most important sights, including Christ the Redeemer atop Corcovado Mountain, during this comprehensive 5-hour guided tour. Visit Sao Conrado beach, a popular landing spot for hang gliders taking off from... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11445963-Rio_de_Janeiro_Main_Landmarks_Tour_Including_Christ_the_Redeemer_and_Selaron_Steps-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|VXNYXzEwMzUxUDFfZ1Vw,593955796,Mich E,NA,5.0,08/07/2018
g303506,Rio de Janeiro,d11445963,"See Rio's most important sights, including Christ the Redeemer atop Corcovado Mountain, during this comprehensive 5-hour guided tour. Visit Sao Conrado beach, a popular landing spot for hang gliders taking off from... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11445963-Rio_de_Janeiro_Main_Landmarks_Tour_Including_Christ_the_Redeemer_and_Selaron_Steps-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|VXNYXzEwMzUxUDFfZ1Vw,592084316,thomasfG3851EH,"Tucson, Arizona",5.0,01/07/2018
g303506,Rio de Janeiro,d11445963,"See Rio's most important sights, including Christ the Redeemer atop Corcovado Mountain, during this comprehensive 5-hour guided tour. Visit Sao Conrado beach, a popular landing spot for hang gliders taking off from... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11445963-Rio_de_Janeiro_Main_Landmarks_Tour_Including_Christ_the_Redeemer_and_Selaron_Steps-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|VXNYXzEwMzUxUDFfZ1Vw,590562252,Sion G,NA,5.0,25/06/2018
g303506,Rio de Janeiro,d11995258,"Head to the top of Sugar Loaf Mountain by cable car for sweeping views of Rio de Janeiro. Your skip-the-line ticket gives you priority access to both cable cars, and is valid for any departure time on the day you... ",https://www.tripadvisor.com/AttractionProductDetail-g303506-d11995258-Skip_the_Line_Sugar_Loaf_Admission_Ticket-Rio_de_Janeiro_State_of_Rio_de_Janeiro.html,TAP|QVhGXzQzMzU4UDFfaVk4,562765001,schermen,herzele,3.0,25/02/2018
